label,n_hosts,clusters,listeners,endpoints,routes,proxy_alloc_bytes,proxy_ws_bytes,config_dump_bytes
baseline,0,21,34,18,13,10299000,42106880,318548
N=10,10,26,26,11,20,22339424,238305280,344845
N=50,50,66,26,11,60,25938840,221323264,544897
N=200,200,216,26,11,210,39424536,227889152,1296537
N=500,500,516,26,11,510,66478536,243056640,2801107
N=1000,1000,1016,26,11,1010,111288616,279252992,5260097
N=2000,2000,2016,26,11,2010,201428264,353005568,10289339
N=4000,4000,4016,26,11,4010,381707368,526147584,20347811
apply_failed,8000,,,,,,,
N=8000(ssa),8000,8016,26,11,8010,742269416,899756032,40464795
after-delete,0,8021,34,18,8013,742970864,894513152,40537082
ghost-baseline,0,21,34,18,13,10179592,41758720,318591
ghost-N=20000,20000,16,26,11,10,9858552,41746432,294997
ghost-before-landmine,20000,16,26,11,10,9854456,41807872,294997
ghost-after-landmine,20000,17,26,11,11,9948720,41721856,300010
wildcard(remote-ns/*),500,516,26,11,510,55528408,108396544,2801615
explicit(500 entries),500,516,26,11,510,55533960,111247360,2801615
wildcard(N=2000),2000,2016,26,11,2010,192913256,306733056,10340003
explicit(N=2000),2000,2016,26,11,2010,192662136,298164224,10291302
